"ensembl"	"symbol"	"MOCK_DMSO_8"	"MOCK_DMSO_8.1"	"MOCK_DMSO_8.2"	"UVC_DMSO_8"	"UVC_DMSO_8.1"	"UVC_DMSO_8.2"	"MOCK_TPA_8"	"MOCK_TPA_8.1"	"MOCK_TPA_8.2"	"UVC_TPA_8"	"UVC_TPA_8.1"	"UVC_TPA_8.2"
"ENSG00000003987.13"	MTMR7	581	1053	651	1309	500	1178	1906	1399	898	2086	1225	1126
"ENSG00000003989.16"	SLC7A2	0	0	50	50	0	150	250	100	150	100	99	100
"ENSG00000004059.10"	ARF5	115310	104582	84044	72374	97398	91646	140827	125940	55183	97350	95374	88462
"ENSG00000004139.13"	SARM1	111578	96907	76032	51357	52414	69701	134995	109239	55141	62662	58130	45385
"ENSG00000004142.11"	POLDIP2	252872	224914	179294	154044	195881	184255	332663	321026	130758	202031	205658	196403
"ENSG00000004399.12"	PLXND1	325	193	597	0	199	0	100	33	0	0	0	100
"ENSG00000004455.16"	AK2	343795	311287	249505	189747	214076	185091	563717	505278	214410	240959	247904	240231
"ENSG00000004468.12"	CD38	4189	5791	2723	2176	1700	1396	16566	15763	6658	6306	4748	5049
"ENSG00000004478.7"	FKBP4	393976	353564	282283	161899	195560	181675	535452	485550	205361	214075	217186	218076
"ENSG00000004487.15"	KDM1A	277204	257307	195579	142978	155454	150512	414286	356324	159905	150493	144388	134874
"ENSG00000004534.14"	RBM6	110133	112397	67661	74271	59481	71008	170503	130480	74775	61637	62897	52952
"ENSG00000004660.14"	CAMKK1	349	600	200	250	200	250	100	322	100	50	100	0
"ENSG00000004700.15"	RECQL	90912	86916	72161	95347	84120	84754	133278	118283	50451	108389	92506	92650
"ENSG00000004766.15"	VPS50	17646	21781	14433	8408	7737	6903	28850	24440	12427	6364	5235	6925
"ENSG00000004776.11"	HSPB6	250	148	364	2057	1525	1825	345	247	50	2627	2752	2951
"ENSG00000004777.18"	ARHGAP33	20557	20303	8732	19550	13876	30618	17456	7698	7368	18096	13800	7374
"ENSG00000004779.9"	NDUFAB1	142144	135520	102725	79826	96220	86142	206590	195975	79827	126425	117913	117957
"ENSG00000004799.7"	PDK4	148	100	0	0	0	0	299	0	100	0	50	100
"ENSG00000004809.13"	SLC22A16	156	169	130	91	169	169	208	234	156	196	271	189
"ENSG00000004838.13"	ZMYND10	2806	2639	1452	1373	1125	2369	3137	1401	859	4056	3211	2100
"ENSG00000004846.16"	ABCB5	0	0	0	0	50	0	0	0	0	38	0	0
"ENSG00000004848.7"	ARX	0	35	35	50	125	35	0	0	0	104	0	0
"ENSG00000004864.13"	SLC25A13	36202	33141	27006	5600	5511	4340	51606	45222	19685	7700	6843	9536
"ENSG00000004866.19"	c("ST7", "ST7-OT3", "MIR6132")	19217	16158	12765	2550	3037	2896	34479	29152	13707	4056	4577	6058
"ENSG00000004897.11"	CDC27	157603	144086	110987	87423	81936	71787	258199	230859	100536	73081	70994	72438
"ENSG00000004939.13"	SLC4A1	50	50	35	452	250	332	150	50	50	1371	1315	484
"ENSG00000004948.13"	CALCR	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000004961.14"	HCCS	50239	47205	36341	41218	44344	38188	77160	69099	28308	50097	52677	51717
"ENSG00000004975.11"	DVL2	72459	69333	57682	58549	70931	72732	103366	91546	40265	77176	74796	70066
"ENSG00000005001.9"	PRSS22	0	0	0	0	0	0	0	0	0	100	50	0
"ENSG00000005007.12"	UPF1	252470	227554	164896	209109	226208	305993	288596	231346	113372	268981	231404	196124
"ENSG00000005020.12"	SKAP2	28195	25334	23969	9868	9426	8669	40486	34774	17843	14544	12096	14420
"ENSG00000005022.5"	SLC25A5	730545	685373	541470	413259	517401	445868	1097367	1034897	417027	585874	568599	579123
"ENSG00000005059.15"	MCUB	41434	38969	30769	11244	13023	10046	42737	39786	17949	11675	11542	11599
"ENSG00000005073.5"	HOXA11	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000005075.15"	POLR2J	37569	38356	31432	25836	31869	34978	50979	49743	19111	30372	30636	27184
"ENSG00000005100.12"	DHX33	163560	154317	108496	100028	94247	107735	250911	207809	96040	119762	122525	111652
"ENSG00000005102.12"	MEOX1	13683	11578	10957	2991	3746	5063	6694	3910	2307	1195	1522	1748
"ENSG00000005108.15"	THSD7A	24	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000005156.11"	LIG3	93590	91880	66289	38173	38838	40751	136216	107206	58385	33808	34791	33711
"ENSG00000005175.9"	RPAP3	74110	66200	55649	43850	42849	35124	125375	118226	46902	38359	40628	42675
"ENSG00000005187.11"	ACSM3	18683	20611	13064	17353	14713	13693	15860	14965	6896	14524	11483	11406
"ENSG00000005189.19"	LOC81691	18193	17868	15385	11976	11704	11841	28554	24234	10961	10889	11135	9422
"ENSG00000005194.14"	CIAPIN1	98625	83712	65232	70655	80663	76885	143457	129522	53522	94075	85286	83873
"ENSG00000005206.16"	SPPL2B	75723	72258	37015	71927	68787	119542	71145	41441	33117	116362	95849	64160
"ENSG00000005238.19"	FAM214B	4283	4352	3475	2215	2156	1816	3650	3745	1825	822	1038	927
"ENSG00000005243.9"	COPZ2	0	150	0	198	0	50	150	99	100	305	324	50
"ENSG00000005249.12"	PRKAR2B	50	0	0	49	0	0	100	0	0	50	50	0
"ENSG00000005302.17"	MSL3	20451	20635	14692	18211	16298	17889	35001	27299	16396	21718	23201	21376
"ENSG00000005339.14"	CREBBP	64545	66318	45132	51658	47835	71517	89080	71335	35425	47494	46508	37079
"ENSG00000005379.15"	TSPOAP1	12981	11483	7703	56430	42612	76301	21673	10605	9970	127931	120399	67013
"ENSG00000005381.7"	MPO	0	0	0	684	150	698	0	0	0	2457	1324	694
"ENSG00000005421.8"	PON1	0	0	0	50	50	0	0	0	0	0	50	0
"ENSG00000005436.13"	GCFC2	50525	44268	34779	27942	30034	23612	70655	64792	29301	29970	28399	26650
"ENSG00000005448.16"	WDR54	37139	38173	25091	25224	33077	35452	49116	46580	18055	36406	33880	31285
"ENSG00000005469.11"	CROT	8016	8030	5765	15432	13716	14087	18269	14815	8609	18149	17481	15241
"ENSG00000005471.15"	ABCB4	0	50	100	50	50	50	791	395	200	341	390	138
"ENSG00000005483.20"	KMT2E	76501	64658	45949	71169	56781	70412	124389	95886	49435	55903	55234	50201
"ENSG00000005486.16"	RHBDD2	37166	35847	23952	70736	97101	101472	46838	46866	19087	107203	103989	90958
"ENSG00000005513.9"	SOX8	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000005700.14"	IBTK	79065	76206	55331	46531	42987	38994	114978	103207	50381	37660	30923	33372
"ENSG00000005801.16"	ZNF195	50438	51411	31606	81527	75142	71929	79587	64365	35322	84595	74948	69413
"ENSG00000005810.17"	MYCBP2	221568	204295	142842	75840	58418	73914	414569	282243	186431	97099	92298	75709
"ENSG00000005812.10"	FBXL3	91630	84960	65871	111812	120027	98619	131511	131478	57082	136479	122224	134391
"ENSG00000005844.17"	ITGAL	235108	228793	162724	87532	88714	93716	359969	279698	149446	92003	96906	82982
"ENSG00000005882.11"	PDK2	6457	5607	4818	3167	4366	5060	5591	4898	2228	3123	3708	2506
"ENSG00000005884.17"	ITGA3	100	150	97	0	0	50	0	50	150	38	150	79
"ENSG00000005889.15"	ZFX	30125	25983	17426	23541	20787	26598	36261	29453	16231	23668	17418	17583
"ENSG00000005893.15"	LAMP2	116157	109148	84948	77269	71983	70580	178970	142918	64771	63531	66524	67924
"ENSG00000005961.17"	ITGA2B	37	200	0	370	350	632	100	200	50	941	1222	728
"ENSG00000005981.12"	ASB4	101	0	100	0	100	50	190	182	71	229	283	288
"ENSG00000006007.11"	GDE1	78005	73364	60423	65234	80115	75110	104938	93154	38426	55905	61942	61080
"ENSG00000006015.17"	C19orf60	40630	38590	26635	18314	23017	34520	44992	31362	17909	31747	26077	22801
"ENSG00000006016.10"	CRLF1	10931	9434	5316	17532	19290	20167	15058	10646	5700	36291	30168	24941
"ENSG00000006025.11"	OSBPL7	11590	10186	5496	13796	10958	17250	14580	9339	7164	19180	17160	11004
"ENSG00000006042.11"	TMEM98	0	50	0	50	0	0	27	0	0	0	0	0
"ENSG00000006047.12"	YBX2	88	62	0	50	36	20	75	0	85	66	100	129
"ENSG00000006059.3"	KRT33A	0	0	0	50	0	0	0	0	0	0	0	0
"ENSG00000006062.13"	MAP3K14	105841	96102	72910	58993	67998	77946	178911	150716	69783	55508	59098	54957
"ENSG00000006071.12"	ABCC8	0	0	0	0	1	178	0	0	0	50	0	0
"ENSG00000006116.3"	CACNG3	300	100	250	299	50	150	1085	1070	371	405	206	848
"ENSG00000006118.14"	TMEM132A	67973	62014	36859	41536	45887	66229	102580	66691	46192	69518	69117	50715
"ENSG00000006125.16"	AP2B1	176262	175609	128013	89354	91152	90625	299049	251091	118531	116981	111146	100293
"ENSG00000006128.11"	TAC1	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000006194.9"	ZNF263	79866	77389	52263	90267	97501	101856	109253	87865	45285	117983	112260	99725
"ENSG00000006210.6"	CX3CL1	199	28	345	180	250	100	900	750	650	226	250	250
"ENSG00000006282.20"	SPATA20	35404	36050	23901	23812	25933	34267	40015	29895	17932	29680	27100	24071
"ENSG00000006283.17"	CACNA1G	100	0	80	145	131	89	0	87	0	100	298	100
"ENSG00000006327.13"	TNFRSF12A	4936	4645	3468	3509	3817	3221	6514	5462	3442	6377	5868	4372
"ENSG00000006377.10"	DLX6	80	100	142	32	25	0	49	136	0	75	47	0
"ENSG00000006432.15"	MAP3K9	8061	7393	5894	5168	5962	4242	15957	13264	5957	8180	7897	7006
"ENSG00000006451.7"	RALA	67553	66034	53188	55046	56102	55674	83952	80361	33164	42289	42620	43396
"ENSG00000006453.13"	BAIAP2L1	27217	25857	18470	24637	24847	25026	36513	33293	15606	18418	16975	16512
"ENSG00000006459.10"	KDM7A	0	0	0	0	0	0	50	0	0	0	0	0
"ENSG00000006468.13"	ETV1	15998	16953	12916	4813	5267	5452	26197	24313	10456	4374	4924	4880
"ENSG00000006530.15"	AGK	56756	52334	39568	29115	27573	28942	86002	77599	37079	32100	33229	31462
"ENSG00000006534.15"	ALDH3B1	250	50	100	100	78	240	290	150	155	50	224	167
"ENSG00000006555.10"	TTC22	0	0	0	50	0	0	0	0	29	0	0	0
"ENSG00000006576.16"	PHTF2	55220	58921	40267	34582	33006	32602	100054	77410	39525	31210	30405	29044
"ENSG00000006606.8"	CCL26	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000006607.13"	FARP2	36276	36159	26369	19961	18242	21163	60019	49831	24916	19868	21529	17891
"ENSG00000006611.15"	USH1C	0	0	0	0	0	50	0	0	0	0	0	50
"ENSG00000006625.17"	GGCT	67119	70740	51603	50841	58602	47106	108074	92392	41378	59022	58248	56486
"ENSG00000006634.7"	DBF4	86705	84530	65283	79134	80413	66415	134451	123671	50058	79020	70003	80772
"ENSG00000006638.11"	TBXA2R	0	0	0	0	50	0	100	50	50	3	50	0
"ENSG00000006652.13"	IFRD1	34994	33232	22421	33191	27150	30481	77584	62775	30585	36536	31987	24922
"ENSG00000006659.12"	LGALS14	50	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000006695.10"	COX10	50930	48506	38291	23989	30476	27096	72291	69581	28323	22540	22825	23750
"ENSG00000006704.10"	GTF2IRD1	8820	9250	7624	2175	3959	2764	12849	10195	4741	2531	2331	2160
"ENSG00000006712.14"	PAF1	79092	79473	57916	56751	71746	59025	114243	104823	44043	66435	67449	61187
"ENSG00000006715.15"	VPS41	50806	47492	39741	18187	15916	14214	72321	62655	29503	21621	21048	20517
"ENSG00000006740.16"	ARHGAP44	385	400	400	497	258	500	1074	241	339	738	467	438
"ENSG00000006744.18"	ELAC2	211021	187696	140376	124294	136859	152226	267083	221526	102881	136297	131435	122489
"ENSG00000006747.14"	SCIN	50	50	0	50	50	200	50	0	0	179	100	100
"ENSG00000006756.15"	ARSD	50	0	0	0	50	69	89	0	49	0	26	0
"ENSG00000006757.11"	PNPLA4	9391	8305	6950	7207	7671	7121	12432	12159	4360	11496	10337	10583
"ENSG00000006788.12"	MYH13	0	61	0	0	0	27	0	0	0	0	50	100
"ENSG00000006831.9"	ADIPOR2	141371	124461	101750	108787	112901	110455	256572	230411	100103	106019	108877	105649
"ENSG00000006837.11"	CDKL3	476	1233	489	1273	1065	1469	2124	1335	795	2090	2307	2003
"ENSG00000007001.12"	UPP2	435	1041	200	397	199	250	524	250	298	0	100	297
"ENSG00000007038.10"	PRSS21	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000007047.14"	MARK4	23743	18015	16977	7858	8625	9189	25187	23403	10654	10366	10234	9069
"ENSG00000007062.11"	PROM1	0	0	0	196	192	200	150	333	0	54	97	147
"ENSG00000007080.10"	CCDC124	159525	139378	108925	70278	97790	107355	186556	171028	68445	133703	118501	110469
"ENSG00000007129.17"	CEACAM21	2314	3370	1991	2258	3320	3083	3187	2998	1419	4570	3867	2578
"ENSG00000007168.12"	PAFAH1B1	163775	148364	110896	104384	97990	96138	248090	211517	100641	69022	67404	69936
"ENSG00000007171.16"	NOS2	0	0	0	50	50	200	30	0	50	0	0	0
"ENSG00000007174.17"	DNAH9	50	0	0	100	0	50	0	100	0	47	0	97
"ENSG00000007202.14"	KIAA0100	292066	281209	223010	157541	172734	173533	370936	331612	164258	146642	142243	129963
"ENSG00000007216.14"	SLC13A2	0	0	0	0	62	116	0	50	0	49	34	50
"ENSG00000007237.18"	GAS7	2228	1358	2130	600	764	897	5724	4624	1540	765	1179	1206
"ENSG00000007255.10"	TRAPPC6A	9097	9954	7004	6229	10991	10761	10802	9448	4902	10356	11373	8863
"ENSG00000007264.14"	MATK	0	0	0	50	0	0	0	0	0	0	0	21
"ENSG00000007306.14"	CEACAM7	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000007312.12"	CD79B	40617	36558	29011	12048	17276	16523	27160	31042	12099	8369	8865	8634
"ENSG00000007314.11"	SCN4A	0	50	0	50	150	150	550	416	150	144	100	150
"ENSG00000007341.18"	ST7L	6745	7786	5661	7226	6059	6959	13944	11511	6963	10713	11005	8496
"ENSG00000007350.16"	TKTL1	150	0	0	0	0	0	50	0	50	0	100	0
"ENSG00000007372.20"	PAX6	946	1211	800	150	0	200	879	497	593	148	150	100
"ENSG00000007376.7"	RPUSD1	119260	101795	80417	41045	58345	70272	105078	96061	43083	49303	45729	42660
"ENSG00000007384.15"	RHBDF1	150	300	150	358	336	788	300	299	50	2418	1662	921
"ENSG00000007392.16"	LUC7L	91939	89898	57187	88529	83444	99800	110624	75278	46630	99497	84462	72005
"ENSG00000007402.11"	CACNA2D2	55	100	200	754	562	1544	327	162	324	1687	1790	777
"ENSG00000007516.13"	BAIAP3	11337	12791	7841	4543	7013	7127	12999	11882	4876	6643	6947	5152
"ENSG00000007520.3"	TSR3	89635	84171	70137	33530	50302	58698	86033	77794	30964	50064	46012	39961
"ENSG00000007541.16"	PIGQ	48338	39171	27690	34968	36972	56257	57338	40904	27505	46352	35596	29960
"ENSG00000007545.15"	CRAMP1	51649	55277	35504	49626	48249	67649	72886	57256	36773	76826	71722	55341
"ENSG00000007866.18"	TEAD3	128	27	0	50	0	0	94	100	0	0	50	72
"ENSG00000007908.15"	SELE	0	0	0	0	0	0	0	0	0	0	50	0
"ENSG00000007923.15"	DNAJC11	230030	225393	150574	102567	110047	121263	281778	237170	112955	92050	94195	89155
"ENSG00000007933.12"	FMO3	0	0	0	0	0	0	50	0	0	0	0	0
"ENSG00000007944.14"	MYLIP	27021	24722	21178	25338	26599	27740	33130	28105	14027	32152	33644	29550
"ENSG00000007952.17"	NOX1	495	307	248	636	542	676	367	471	101	655	510	540
"ENSG00000007968.6"	E2F2	127403	111228	81147	136704	144653	169993	115030	104082	48645	164934	152892	137789
"ENSG00000008018.8"	PSMB1	260345	245830	188757	166264	190387	157326	389119	361377	153243	220802	208983	210267
"ENSG00000008056.12"	SYN1	16	71	24	21	48	54	26	30	46	365	616	165
"ENSG00000008083.13"	JARID2	35638	42346	26973	11598	9607	9788	87602	67554	35134	14420	15020	15912
"ENSG00000008086.11"	CDKL5	3386	4625	3183	550	900	650	5193	4225	2890	789	1238	1196
"ENSG00000008118.9"	CAMK1G	199	50	120	250	200	50	447	249	78	299	350	0
"ENSG00000008128.22"	CDK11A	74967	77055	50673	66129	56142	76267	103617	74839	43712	91790	81623	59247
"ENSG00000008130.15"	NADK	127836	115393	86322	79088	89560	118179	166086	136199	70346	122306	108866	91664
"ENSG00000008196.12"	TFAP2B	0	0	0	0	0	0	0	0	0	0	50	0
"ENSG00000008197.4"	TFAP2D	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000008226.19"	DLEC1	10082	10368	7315	7321	6518	8141	12692	12595	5594	8624	8612	7644
"ENSG00000008256.15"	CYTH3	39362	40253	27650	20907	21555	23213	83766	70515	33496	26422	26728	25460
"ENSG00000008277.14"	ADAM22	29564	26975	17923	9668	7013	9315	42059	27765	18783	9913	8091	6498
"ENSG00000008282.8"	SYPL1	155265	157566	114928	103865	109911	90055	221469	190841	85811	88556	91435	89462
"ENSG00000008283.15"	CYB561	0	0	0	0	0	0	50	0	0	50	50	50
"ENSG00000008294.20"	SPAG9	83629	79449	56372	43257	42540	39867	177145	140007	71083	49804	49445	44982
"ENSG00000008300.15"	c("CELSR3", "MIR4793")	59243	53045	38619	43236	41292	66905	75747	49253	31652	76562	70324	48911
"ENSG00000008311.14"	AASS	0	0	0	0	0	0	56	0	46	0	50	0
"ENSG00000008323.15"	PLEKHG6	399	50	250	2426	3565	2868	250	47	50	2140	1345	1819
"ENSG00000008324.10"	SS18L2	41250	45521	32667	38585	45869	35501	78018	65867	30266	50694	53038	49987
"ENSG00000008382.15"	MPND	17411	20424	14566	9778	13487	14226	14518	17053	6776	11424	10324	10274
"ENSG00000008394.12"	MGST1	150464	135438	102898	87999	88433	75796	162807	138615	58142	83757	76942	80075
"ENSG00000008405.11"	CRY1	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000008438.4"	PGLYRP1	197	50	0	22	0	84	97	0	50	0	50	0
"ENSG00000008441.16"	NFIX	27991	23719	18545	9863	9751	11304	29750	27685	11597	9955	10878	9904
"ENSG00000008513.14"	ST3GAL1	36173	37277	24544	8189	11087	9505	71560	65757	30147	14339	16753	15008
"ENSG00000008516.16"	MMP25	2136	1634	588	665	531	1375	2294	1516	1318	1209	1232	938
"ENSG00000008517.16"	IL32	200061	186697	156313	137723	176866	154620	284325	266138	109930	189645	195299	182743
"ENSG00000008710.18"	c("PKD1", "MIR6511B1")	125415	115562	71845	69027	67854	126887	121437	84482	54549	99147	85159	63438
"ENSG00000008735.13"	MAPK8IP2	1347	946	754	4305	4395	7885	742	648	538	9618	8525	5102
"ENSG00000008838.18"	c("MED24", "MIR6884")	140832	138055	106810	78340	91643	107386	189536	161150	77886	99741	98197	85967
"ENSG00000008853.16"	RHOBTB2	38081	32056	31738	32763	39382	46263	44881	39020	16815	43822	43715	38183
"ENSG00000008869.11"	HEATR5B	46436	47051	27641	13610	13207	12589	58652	41063	22790	14387	14180	11761
"ENSG00000008952.16"	SEC62	132096	118872	89003	95038	95841	82321	199191	163849	72822	102973	114572	97537
"ENSG00000008988.9"	RPS20	701072	671155	551419	593517	702043	586107	1128864	1040462	440828	924618	870005	799685
"ENSG00000009307.15"	CSDE1	596869	554682	436735	370117	385970	353429	888369	814703	350315	366276	353989	378910
"ENSG00000009335.17"	UBE3C	192150	172054	142364	92762	102176	94597	294595	262804	113523	75134	78018	80102
"ENSG00000009413.15"	REV3L	59317	61442	37845	47692	39035	51374	100453	75835	43097	41086	36766	34789
"ENSG00000009694.13"	TENM1	100	100	150	0	0	150	0	50	40	50	0	0
"ENSG00000009709.11"	PAX7	0	0	0	0	0	0	0	0	22	0	0	0
"ENSG00000009724.16"	MASP2	1082	757	715	2412	1579	2152	1508	727	644	8384	5801	2837
"ENSG00000009765.14"	IYD	0	0	0	37	47	0	0	0	50	0	50	0
"ENSG00000009780.15"	FAM76A	6616	8052	4685	8549	8000	8245	10491	8971	4479	11183	10039	7933
"ENSG00000009790.14"	TRAF3IP3	112568	106274	75433	57026	57479	54556	185413	164113	83784	70811	76219	69287
"ENSG00000009830.11"	POMT2	19660	21691	13560	13107	13422	15089	31766	22451	12873	17694	15123	13892
"ENSG00000009844.15"	VTA1	85933	74094	59823	61704	66273	53771	125464	114855	46043	52400	51384	53954
"ENSG00000009950.15"	MLXIPL	0	0	0	0	0	106	50	32	0	100	94	150
"ENSG00000009954.10"	BAZ1B	264104	246258	169268	199464	197358	205060	356675	296870	140189	164540	155974	138478
"ENSG00000010017.12"	RANBP9	70719	67748	51809	53571	57066	53108	101784	92664	44126	42312	44946	42366
"ENSG00000010030.13"	ETV7	0	0	50	200	384	550	50	50	50	350	238	100
"ENSG00000010072.15"	SPRTN	28648	30333	19797	40572	39325	38527	42448	42611	16924	45322	40017	38641
"ENSG00000010165.19"	METTL13	110209	97426	83196	83917	95120	92410	155269	140419	57079	92897	95269	97596
"ENSG00000010219.13"	DYRK4	9730	8808	5667	9026	9004	8390	14604	13019	6420	13185	12051	11090
"ENSG00000010244.17"	c("ZNF207", "MIR632")	424138	399108	297086	320091	338521	324672	620950	538613	245986	249884	252622	260465
"ENSG00000010256.10"	UQCRC1	309974	278057	219511	185301	250313	250998	329722	304225	125771	235227	217596	220809
"ENSG00000010270.13"	STARD3NL	59470	57414	46159	36199	41304	31891	82414	77944	30732	30442	30310	31471
"ENSG00000010278.12"	CD9	0	0	0	0	50	250	0	50	0	100	50	0
"ENSG00000010282.14"	HHATL	50	0	50	416	0	585	200	138	100	731	264	156
"ENSG00000010292.12"	NCAPD2	393929	374456	275493	229511	233671	260969	523606	427731	205092	204785	204319	193445
"ENSG00000010295.19"	IFFO1	35930	35408	20346	26773	26087	35470	36186	22434	15393	24448	22278	15914
"ENSG00000010310.8"	GIPR	7344	8245	3392	3588	4750	5580	4823	3089	3837	4689	4539	2121
"ENSG00000010318.20"	PHF7	4480	4748	2501	1300	1334	1622	6207	4613	2434	1893	2572	1588
"ENSG00000010319.6"	SEMA3G	24	0	0	847	500	1238	0	0	50	1165	526	250
"ENSG00000010322.15"	NISCH	105803	110271	64015	102851	92496	150958	128392	88990	55059	119769	109121	80708
"ENSG00000010327.10"	STAB1	5188	3800	3004	2185	2987	3726	4118	4570	1718	3139	3353	3015
"ENSG00000010361.13"	FUZ	2599	1859	2106	1531	1445	1983	3188	2807	1272	2234	1956	2211
"ENSG00000010379.15"	SLC6A13	949	854	347	292	623	814	1298	1030	688	914	879	603
"ENSG00000010404.17"	IDS	141114	132569	100906	102732	102235	104781	287470	257424	116645	157643	152469	150881
"ENSG00000010438.16"	PRSS3	50	38	0	0	0	0	50	54	87	0	0	0
"ENSG00000010539.11"	ZNF200	29308	26468	18638	33110	33885	32123	40621	34837	16236	33838	33245	32570
"ENSG00000010610.9"	CD4	50	0	50	112	50	12	104	0	39	50	59	50
